,"(deg C) Mean Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2009-05-25",24.7046
"2009-05-26",24.1413
"2009-05-27",24.494
"2009-05-28",24.9026
"2009-05-29",24.9168
"2009-05-30",24.4608
"2009-05-31",24.3039
"2009-06-01",24.453
"2009-06-02",24.6409
"2009-06-03",24.6409
"2009-06-04",24.3315
"2009-06-05",23.7039
"2009-06-06",24.3242
"2009-06-07",23.7139
"2009-06-08",23.7652
"2009-06-09",24.094
"2009-06-10",24.2911
"2009-06-11",24.0223
"2009-06-12",23.33
"2009-06-13",23.4007
"2009-06-14",24.4762
"2009-06-15",24.4251
"2009-06-16",24.5583
"2009-06-17",23.8845
"2009-06-18",23.7299
"2009-06-19",23.354
"2009-06-20",23.7611
"2009-06-21",24.2983
"2009-06-22",23.929
"2009-06-23",24.3336
"2009-06-24",24.0583
"2009-06-25",23.708
"2009-06-26",22.9635
"2009-06-27",23.4218
"2009-06-28",23.6515
"2009-06-29",23.2139
"2009-06-30",22.7497
"2009-07-01",22.7649
"2009-07-02",22.7277
"2009-07-03",23.0974
"2009-07-04",23.3071
"2009-07-05",23.5602
"2009-07-06",23.1734
"2009-07-07",23.6971
"2009-07-08",23.7457
"2009-07-09",23.6004
"2009-07-10",23.7186
"2009-07-11",23.8798
"2009-07-12",23.8269
"2009-07-13",23.5659
"2009-07-14",23.7147
"2009-07-15",24.3164
"2009-07-16",23.4954
"2009-07-17",22.3574
"2009-07-18",23.8869
"2009-07-19",23.5496
"2009-07-20",23.8011
"2009-07-21",23.7119
"2009-07-22",23.7601
"2009-07-23",23.9033
"2009-07-24",24.3662
"2009-07-25",24.2392
"2009-07-26",23.7582
"2009-07-27",23.8105
"2009-07-28",23.6839
"2009-07-29",24.1201
"2009-07-30",23.9771
"2009-07-31",23.8388
"2009-08-01",23.5158
"2009-08-02",23.3667
"2009-08-03",23.8991
"2009-08-04",23.7717
"2009-08-05",23.8178
"2009-08-06",23.8444
"2009-08-07",23.2418
"2009-08-08",23.9835
"2009-08-09",23.9832
"2009-08-10",24.0364
"2009-08-11",23.8632
"2009-08-12",24.13
"2009-08-13",24.099
"2009-08-14",24.2902
"2009-08-15",23.8458
"2009-08-16",23.007
"2009-08-17",22.0089
"2009-08-18",23.3082
"2009-08-19",23.2378
"2009-08-20",23.3134
"2009-08-21",23.5111
"2009-08-22",23.5219
"2009-08-23",23.1971
"2009-08-24",23.479
"2009-08-25",23.8183
"2009-08-26",23.3871
"2009-08-27",23.8953
"2009-08-28",23.166
"2009-08-29",23.5371
"2009-08-30",23.2936
"2009-08-31",23.1936
"2009-09-01",23.3572
"2009-09-02",22.9531
"2009-09-03",23.3191
"2009-09-04",22.8482
"2009-09-05",23.0494
"2009-09-06",22.8949
"2009-09-07",23.0591
"2009-09-08",23.4114
"2009-09-09",23.3593
"2009-09-10",23.415
"2009-09-11",23.6886
"2009-09-12",23.9819
