,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2009-12-03",3.378
"2009-12-04",0.4361
"2009-12-05",12.4949
"2009-12-06",16.7551
"2009-12-07",10.1332
"2009-12-08",10.8902
"2009-12-09",10.6115
"2009-12-10",0.5472
"2009-12-11",0
"2009-12-12",13.9931
"2009-12-13",16.2534
"2009-12-14",1.4929
"2009-12-15",7.8962
"2009-12-16",0
"2009-12-17",4.2762
"2009-12-18",2.7625
"2009-12-19",0.5352
"2009-12-20",0.0934
"2009-12-21",25.7493
"2009-12-22",1.202
"2009-12-23",0
"2009-12-24",0.6056
"2009-12-25",1.3619
"2009-12-26",1.8302
"2009-12-27",6.6616
"2009-12-28",6.1761
"2009-12-29",5.4505
"2009-12-30",9.6559
"2009-12-31",0.1921
"2010-01-01",1.1749
"2010-01-02",1.2253
"2010-01-03",11.7659
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",0.2578
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",0.4851
"2010-01-13",0
"2010-01-14",0.0712
"2010-01-15",0
"2010-01-16",15.4638
"2010-01-17",20.4838
"2010-01-18",2.0195
"2010-01-19",0.0085
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",9.9718
"2010-01-28",0
"2010-01-29",0
"2010-01-30",11.4142
"2010-01-31",29.7029
"2010-02-01",23.5318
"2010-02-02",17.9068
"2010-02-03",2.49
"2010-02-04",0.3781
"2010-02-05",0.9197
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",9.9146
"2010-02-11",13.4096
"2010-02-12",4.665
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0
"2010-02-16",25.9524
"2010-02-17",10.8771
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0.6349
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
