,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2009-03-21",0
"2009-03-22",1.0506
"2009-03-23",7.6198
"2009-03-24",13.5433
"2009-03-25",16.0967
"2009-03-26",19.4689
"2009-03-27",13.1299
"2009-03-28",9.6604
"2009-03-29",13.8683
"2009-03-30",13.8548
"2009-03-31",1.5813
"2009-04-01",3.2672
"2009-04-02",5.1277
"2009-04-03",6.7244
"2009-04-04",5.145
"2009-04-05",6.347
"2009-04-06",5.0081
"2009-04-07",3.5022
"2009-04-08",9.3194
"2009-04-09",15.6489
"2009-04-10",21.2679
"2009-04-11",18.312
"2009-04-12",2.8095
"2009-04-13",10.2732
"2009-04-14",7.214
"2009-04-15",0
"2009-04-16",1.6235
"2009-04-17",1.8757
"2009-04-18",2.5577
"2009-04-19",0.5146
"2009-04-20",0.0547
"2009-04-21",0
"2009-04-22",3.4421
"2009-04-23",3.8761
"2009-04-24",2.6627
"2009-04-25",0
"2009-04-26",1.0157
"2009-04-27",7.4209
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0.0024
"2009-05-05",1.621
"2009-05-06",1.5583
"2009-05-07",6.8268
"2009-05-08",0.5519
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0
"2009-05-12",1.38
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",12.4996
"2009-05-17",19.6786
"2009-05-18",5.1642
"2009-05-19",16.22
"2009-05-20",6.0614
"2009-05-21",15.0447
"2009-05-22",2.5364
"2009-05-23",0.0263
"2009-05-24",5.8294
"2009-05-25",8.2648
"2009-05-26",11.0504
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0.2534
"2009-05-31",0.3886
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",1.6163
"2009-06-06",0.9819
"2009-06-07",6.5349
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",4.7839
"2009-06-12",0
"2009-06-13",3.2531
"2009-06-14",0.2881
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",1.6034
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",0.8276
"2009-06-25",1.0458
"2009-06-26",0
"2009-06-27",0.4934
"2009-06-28",0.1722
"2009-06-29",9.64
"2009-06-30",9.5055
"2009-07-01",0.9746
"2009-07-02",0
"2009-07-03",0
"2009-07-04",1.2465
"2009-07-05",3.2678
"2009-07-06",9.837
"2009-07-07",1.0271
"2009-07-08",0
"2009-07-09",0.1069
"2009-07-10",0.5318
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",15.6151
"2009-07-15",0.5617
"2009-07-16",0
"2009-07-17",2.2259
